Privacy & Security,Privacy Remote Desktop,com.apple.settings.PrivacySecurity.extension?Privacy_RemoteDesktop
Privacy & Security,Privacy Screen Capture,com.apple.settings.PrivacySecurity.extension?Privacy_ScreenCapture
Privacy & Security,Privacy Speech Recognition,com.apple.settings.PrivacySecurity.extension?Privacy_SpeechRecognition
Privacy & Security,Privacy System Services,com.apple.settings.PrivacySecurity.extension?Privacy_SystemServices
Privacy & Security,Security,com.apple.settings.PrivacySecurity.extension?Security
Privacy & Security,Security Improvements,com.apple.settings.PrivacySecurity.extension?SecurityImprovements
Lock Screen,,com.apple.Lock-Screen-Settings.extension
Lock Screen,Display Off,com.apple.Lock-Screen-Settings.extension?DisplayOff
Lock Screen,Large Clock,com.apple.Lock-Screen-Settings.extension?LargeClock
Lock Screen,Lock Screen Message,com.apple.Lock-Screen-Settings.extension?LockScreenMessage
Lock Screen,Login Window,com.apple.Lock-Screen-Settings.extension?LoginWindow
Lock Screen,Password,com.apple.Lock-Screen-Settings.extension?Password
Lock Screen,Screen Saver,com.apple.Lock-Screen-Settings.extension?ScreenSaver
Screen Time,,com.apple.Screen-Time-Settings.extension
Screen Time,Path=always Allowed,com.apple.Screen-Time-Settings.extension?path=always-allowed
Screen Time,Path=app Limits,com.apple.Screen-Time-Settings.extension?path=app-limits
Screen Time,Path=app Usage,com.apple.Screen-Time-Settings.extension?path=app-usage
Screen Time,Path=communication Limits,com.apple.Screen-Time-Settings.extension?path=communication-limits
Screen Time,Path=content And Privacy,com.apple.Screen-Time-Settings.extension?path=content-and-privacy
Screen Time,Path=downtime,com.apple.Screen-Time-Settings.extension?path=downtime
Screen Time,Path=notifications,com.apple.Screen-Time-Settings.extension?path=notifications
Screen Time,Path=pickups,com.apple.Screen-Time-Settings.extension?path=pickups
Screen Time,Path=requests,com.apple.Screen-Time-Settings.extension?path=requests
Screen Time,Path=screen Distance,com.apple.Screen-Time-Settings.extension?path=screen-distance
Focus,,com.apple.Focus-Settings.extension
Focus,Focus,com.apple.Focus-Settings.extension?Focus
Sound,,com.apple.Sound-Settings.extension
Sound,Balance,com.apple.Sound-Settings.extension?balance
Sound,Effects,com.apple.Sound-Settings.extension?effects
Sound,Input,com.apple.Sound-Settings.extension?input
Sound,Mute,com.apple.Sound-Settings.extension?mute
Sound,Output,com.apple.Sound-Settings.extension?output
Sound,Volume,com.apple.Sound-Settings.extension?volume
Notifications,,com.apple.Notifications-Settings.extension
Notifications,Notifications,com.apple.Notifications-Settings.extension?Notifications
Notifications,Remote Notifications,com.apple.Notifications-Settings.extension?RemoteNotifications
Wallpaper,,com.apple.Wallpaper-Settings.extension
Wallpaper,Clock Appearance,com.apple.Wallpaper-Settings.extension?ClockAppearance
Wallpaper,Screen Saver,com.apple.Wallpaper-Settings.extension?ScreenSaver
Wallpaper,Wallpaper,com.apple.Wallpaper-Settings.extension?Wallpaper
Spotlight,,com.apple.Spotlight-Settings.extension
Spotlight,Privacy,com.apple.Spotlight-Settings.extension?privacy
Spotlight,Search Results,com.apple.Spotlight-Settings.extension?searchResults
Menu Bar,,com.apple.ControlCenter-Settings.extension
Menu Bar,Battery,com.apple.ControlCenter-Settings.extension?Battery
Menu Bar,Bluetooth,com.apple.ControlCenter-Settings.extension?Bluetooth
Menu Bar,Clock,com.apple.ControlCenter-Settings.extension?Clock
Menu Bar,Display,com.apple.ControlCenter-Settings.extension?Display
Menu Bar,Do Not Disturb,com.apple.ControlCenter-Settings.extension?DoNotDisturb
Menu Bar,Focus Modes,com.apple.ControlCenter-Settings.extension?FocusModes
Menu Bar,Menu Bar,com.apple.ControlCenter-Settings.extension?MenuBar
Menu Bar,Now Playing,com.apple.ControlCenter-Settings.extension?NowPlaying
Menu Bar,Screen Mirroring,com.apple.ControlCenter-Settings.extension?ScreenMirroring
Menu Bar,Siri,com.apple.ControlCenter-Settings.extension?Siri
Menu Bar,Sound,com.apple.ControlCenter-Settings.extension?Sound
Menu Bar,Spotlight,com.apple.ControlCenter-Settings.extension?Spotlight
Menu Bar,Stage Manager,com.apple.ControlCenter-Settings.extension?StageManager
Menu Bar,Time Machine,com.apple.ControlCenter-Settings.extension?TimeMachine
Menu Bar,User Switcher,com.apple.ControlCenter-Settings.extension?UserSwitcher
Menu Bar,Vpn,com.apple.ControlCenter-Settings.extension?VPN
Menu Bar,Weather,com.apple.ControlCenter-Settings.extension?Weather
Menu Bar,Wi Fi,com.apple.ControlCenter-Settings.extension?WiFi
Menu Bar,Tutorial,com.apple.ControlCenter-Settings.extension?tutorial
Displays,,com.apple.Displays-Settings.extension
Displays,Advanced Section,com.apple.Displays-Settings.extension?advancedSection
Displays,Ambience Section,com.apple.Displays-Settings.extension?ambienceSection
Displays,Arrangement Section,com.apple.Displays-Settings.extension?arrangementSection
Displays,Characteristic Section,com.apple.Displays-Settings.extension?characteristicSection
Displays,Displays Section,com.apple.Displays-Settings.extension?displaysSection
Displays,Miscellaneous Section,com.apple.Displays-Settings.extension?miscellaneousSection
Displays,Night Shift Section,com.apple.Displays-Settings.extension?nightShiftSection
Displays,Profile Section,com.apple.Displays-Settings.extension?profileSection
Displays,Resolution Section,com.apple.Displays-Settings.extension?resolutionSection
Displays,Sidecar Section,com.apple.Displays-Settings.extension?sidecarSection
Desktop & Dock,,com.apple.Desktop-Settings.extension
Desktop & Dock,Applications,com.apple.Desktop-Settings.extension?Applications
Desktop & Dock,Desktop,com.apple.Desktop-Settings.extension?Desktop
Desktop & Dock,Dock,com.apple.Desktop-Settings.extension?Dock
Desktop & Dock,Hot Corners,com.apple.Desktop-Settings.extension?HotCorners
Desktop & Dock,Mission Control,com.apple.Desktop-Settings.extension?MissionControl
Desktop & Dock,Shortcuts,com.apple.Desktop-Settings.extension?Shortcuts
Desktop & Dock,Stage Manager,com.apple.Desktop-Settings.extension?StageManager
Desktop & Dock,Widgets,com.apple.Desktop-Settings.extension?Widgets
Desktop & Dock,Window Tiling,com.apple.Desktop-Settings.extension?WindowTiling
Desktop & Dock,Windows,com.apple.Desktop-Settings.extension?Windows
Apple Intelligence & Siri,,com.apple.Siri-Settings.extension*siri-sae
Apple Intelligence & Siri,Generative Assistant Settings View,com.apple.Siri-Settings.extension*siri-sae?GenerativeAssistantSettingsView
Apple Intelligence & Siri,Siri,com.apple.Siri-Settings.extension*siri-sae?Siri
Appearance,,com.apple.Appearance-Settings.extension
Appearance,Main,com.apple.Appearance-Settings.extension?Main
Accessibility,,com.apple.Accessibility-Settings.extension
Accessibility,Ax Adaptive Voice Shortcuts Onboarding,com.apple.Accessibility-Settings.extension?AX_ADAPTIVE_VOICE_SHORTCUTS_ONBOARDING
Accessibility,Ax Alt Mouse Buttons,com.apple.Accessibility-Settings.extension?AX_ALT_MOUSE_BUTTONS
Accessibility,Ax Alt Mouse Enable Sounds,com.apple.Accessibility-Settings.extension?AX_ALT_MOUSE_ENABLE_SOUNDS
Accessibility,Ax Alt Mouse Enable Visuals,com.apple.Accessibility-Settings.extension?AX_ALT_MOUSE_ENABLE_VISUALS
Accessibility,Ax Animated Images,com.apple.Accessibility-Settings.extension?AX_ANIMATED_IMAGES
Accessibility,Ax Background Sounds,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUNDS
Accessibility,Ax Background Sounds Lock Screen,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUNDS_LOCK_SCREEN
Accessibility,Ax Background Sounds Timer Options,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUNDS_TIMER_OPTIONS
Accessibility,Ax Background Sounds Timer Toggle,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUNDS_TIMER_TOGGLE
Accessibility,Ax Background Sounds Volume,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUNDS_VOLUME
Accessibility,Ax Background Sound Filter Choose,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUND_FILTER_CHOOSE
Accessibility,Ax Background Sound Timer Choose,com.apple.Accessibility-Settings.extension?AX_BACKGROUND_SOUND_TIMER_CHOOSE
Accessibility,Ax Bg Sound Select Header,com.apple.Accessibility-Settings.extension?AX_BG_SOUND_SELECT_HEADER
Accessibility,Ax Captioning Prefer Sdh,com.apple.Accessibility-Settings.extension?AX_CAPTIONING_PREFER_SDH
Accessibility,Ax Configure Camera,com.apple.Accessibility-Settings.extension?AX_CONFIGURE_CAMERA
Accessibility,Ax Cursor Size,com.apple.Accessibility-Settings.extension?AX_CURSOR_SIZE
Accessibility,Ax Differentiate Without Color,com.apple.Accessibility-Settings.extension?AX_DIFFERENTIATE_WITHOUT_COLOR
Accessibility,Ax Dim Flashing,com.apple.Accessibility-Settings.extension?AX_DIM_FLASHING
Accessibility,Ax Display Filter Enabled,com.apple.Accessibility-Settings.extension?AX_DISPLAY_FILTER_ENABLED
Accessibility,Ax Display Filter Intensity,com.apple.Accessibility-Settings.extension?AX_DISPLAY_FILTER_INTENSITY
Accessibility,Ax Display Filter Tint Color,com.apple.Accessibility-Settings.extension?AX_DISPLAY_FILTER_TINT_COLOR
Accessibility,Ax Display Filter Type,com.apple.Accessibility-Settings.extension?AX_DISPLAY_FILTER_TYPE
Accessibility,Ax Dwell Action,com.apple.Accessibility-Settings.extension?AX_DWELL_ACTION
Accessibility,Ax Dwell Auto Revert,com.apple.Accessibility-Settings.extension?AX_DWELL_AUTO_REVERT
Accessibility,Ax Dwell Cursor Color,com.apple.Accessibility-Settings.extension?AX_DWELL_CURSOR_COLOR
Accessibility,Ax Dwell In Menu Extra,com.apple.Accessibility-Settings.extension?AX_DWELL_IN_MENU_EXTRA
Accessibility,Ax Dwell In Panels,com.apple.Accessibility-Settings.extension?AX_DWELL_IN_PANELS
Accessibility,Ax Dwell Progress Indicator,com.apple.Accessibility-Settings.extension?AX_DWELL_PROGRESS_INDICATOR
Accessibility,Ax Dwell Retrigger Tolerance,com.apple.Accessibility-Settings.extension?AX_DWELL_RETRIGGER_TOLERANCE
Accessibility,Ax Dwell Tolerance,com.apple.Accessibility-Settings.extension?AX_DWELL_TOLERANCE
Accessibility,Ax Dwell Wait Time,com.apple.Accessibility-Settings.extension?AX_DWELL_WAIT_TIME
Accessibility,Ax Dwell Wait Time Home,com.apple.Accessibility-Settings.extension?AX_DWELL_WAIT_TIME_HOME
Accessibility,Ax Dwell Zoom,com.apple.Accessibility-Settings.extension?AX_DWELL_ZOOM
Accessibility,Ax Dwell Zoom Wait,com.apple.Accessibility-Settings.extension?AX_DWELL_ZOOM_WAIT
Accessibility,Ax Enhance Contrast,com.apple.Accessibility-Settings.extension?AX_ENHANCE_CONTRAST
Accessibility,Ax Facetime Transcriptions,com.apple.Accessibility-Settings.extension?AX_FACETIME_TRANSCRIPTIONS
Accessibility,Ax Feature Audio,com.apple.Accessibility-Settings.extension?AX_FEATURE_AUDIO
Accessibility,Ax Feature Avs,com.apple.Accessibility-Settings.extension?AX_FEATURE_AVS
Accessibility,Ax Feature Captions,com.apple.Accessibility-Settings.extension?AX_FEATURE_CAPTIONS
Accessibility,Ax Feature Descriptions,com.apple.Accessibility-Settings.extension?AX_FEATURE_DESCRIPTIONS
Accessibility,Ax Feature Hearingaids,com.apple.Accessibility-Settings.extension?AX_FEATURE_HEARINGAIDS
